donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,trabajo_de,anos_de_experiencia,plataformas_que_utilizas_en_tu_puesto_actual,lenguajes_de_programacion_o_tecnologias_que_utilices_en_tu_puesto_actual,frameworksherramientas_y_librerias_que_utilices_en_tu_puesto_actual,bases_de_datos,qa_testing,tengo_edad,me_identifico_genero,seniority
Santa Fe,Full-Time,Tercerizado (trabajo a través de consultora o agencia),5000000,Developer,17,"Amazon Web Services, Docker, Linux","CSS, HTML, Javascript, Python","Angular, Bootstrap, Django, jQuery, React.js",MongoDB,Cypress,41,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),450000,Developer,0,"Amazon Web Services, Docker, Linux","CSS, HTML, Java, Javascript, Python, SQL, TypeScript","Next.js, Node.js, React.js, Spring","MySQL, PostgreSQL","JUnit, Postman, Selenium",22,Mujer Cis,Junior
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2183000,SysAdmin / DevOps / SRE,6,"Amazon Web Services, Azure, Docker, Linux","Bash/Shell, Python",Ninguno de los anteriores,"ElasticSearch, MySQL, PostgreSQL",Ninguna de las anteriores,21,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,3200000,Developer,4,"Docker, Google Cloud Platform, Kubernetes, Linux, Microcontroladores","Python, SQL",Flask,PostgreSQL,"Ninguna de las anteriores, Unittest",31,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,5400000,Data Engineer,16,Azure,"Python, Scala, SQL","Hadoop, Spark, TensorFlow",Ninguna de las anteriores,Ninguna de las anteriores,36,Hombre Cis,Senior
Buenos Aires,Part-Time,Freelance,550000,Developer,2,"Amazon Web Services, Linux","CSS, HTML, Javascript","Node.js, Vue.js",MongoDB,Postman,43,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000,Developer,1,"Firebase, Google Cloud Platform, Zoho","HTML, Javascript, Python, TypeScript, Deluge",Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,36,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,11000000,Technical Leader,11,"Firebase, Google Cloud Platform, Kubernetes","CSS, HTML, Java, Javascript, SQL, TypeScript","Bootstrap, Node.js, React.js",Google Cloud Storage,mabl,31,Mujer Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2200000,Developer,10,"Amazon Web Services, Firebase","Java, SQL","Hibernate, jQuery, React.js, Spring","Amazon DynamoDB, Amazon RDS/Aurora, Oracle","JUnit, Postman, SoapUI",35,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),1345321,Data Engineer,1,"Amazon Web Services, Azure, SAP, Windows Server","Python, R, SQL, VBA","Django, jQuery, SAP, Spark, TensorFlow","Amazon DynamoDB, Amazon RDS/Aurora, Microsoft SQL Server",Postman,26,Hombre Cis,Junior
Neuquén,Full-Time,Staff (planta permanente),3600000,Developer,7,"Docker, Linux","HTML, Javascript, PHP, SQL","Bootstrap, jQuery, React.js, WordPress","MariaDB, MySQL, Redis","Cypress, PHPUnit",33,Hombre Cis,Senior
Santa Fe,Full-Time,Staff (planta permanente),1560200,UX Designer,8,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,40,Mujer Cis,Senior
Corrientes,Full-Time,Contractor,3500000,QA / Tester,1,Google Cloud Platform,Ninguno de los anteriores,Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,39,Mujer Cis,Junior
Buenos Aires,Full-Time,Contractor,8750000,Manager / Director,20,"Docker, Google Cloud Platform, Kubernetes, Linux","Bash/Shell, Python, Ruby, YAML :)","Bootstrap, Django, Flask, Rails","ElasticSearch, Google Cloud Storage, MariaDB, MongoDB, MySQL, Redis","Cypress, CircleCI",47,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3300000,Data Engineer,20,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, OpenShift, Windows Server","Python, SQL","Spark, Pandas scikit learn","Amazon Redshift, Amazon RDS/Aurora, MySQL","Postman, Pytest",44,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3632920,SysAdmin / DevOps / SRE,23,"Amazon Web Services, Docker, Kubernetes, Linux, Serverless, Windows Server","Bash/Shell, Python",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,44,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),930000,Developer,7,"Amazon Web Services, Firebase, Google Cloud Platform, Linux","Java, Python",Ninguno de los anteriores,Ninguna de las anteriores,JUnit,30,Hombre Cis,Senior
Corrientes,Full-Time,Staff (planta permanente),830000,Developer,2,"Amazon Web Services, Docker, Linux, Serverless",Python,Django,"Amazon DynamoDB, MariaDB, MySQL, PostgreSQL",Postman,22,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2107600,Consultant,14,SAP,Ninguno de los anteriores,"SAP, SAP Hana",HANA,Ninguna de las anteriores,37,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Contractor,1300000,Developer,4,Ninguna de las anteriores,"Javascript, Python, TypeScript",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,26,Hombre Cis,Semi-Senior
Jujuy,Full-Time,Contractor,3000000,Technical Leader,7,"Amazon Web Services, Docker, Kubernetes, Linux, VMWare, Windows Server",Python,Ninguno de los anteriores,"Cassandra, Microsoft SQL Server",Ninguna de las anteriores,33,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1000000,Developer,2,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux, Windows Server","Bash/Shell, C, C++, Python, Rust","Spark, TensorFlow, Torch, Replicate ","ElasticSearch, Google Cloud Storage, MariaDB, Microsoft SQL Server, Neo4j","Postman, Visual Studio Coded UI",26,Mujer Cis,Junior
Córdoba,Full-Time,Staff (planta permanente),5500000,SysAdmin / DevOps / SRE,20,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, OpenShift, Serverless, VMWare, Windows Server","Bash/Shell, Go, HTML, Python, SQL, VBA","Node.js, React.js","Amazon RDS/Aurora, ElasticSearch, Google Cloud Storage, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL, Oracle, PostgreSQL, SQLite",Ninguna de las anteriores,46,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,794704.8,Developer,3,Docker,"CSS, HTML, Java, Javascript, SQL","Angular, Hibernate, jQuery, Spring",Sybase,JUnit,28,Mujer Cis,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),3533000,QA / Tester,17,Ninguna de las anteriores,"Java, SQL",Ninguno de los anteriores,PostgreSQL,"NUnit, Postman",41,Hombre Cis,Senior
Tucumán,Full-Time,Staff (planta permanente),928200,Technical Leader,3,"Amazon Web Services, Docker, Firebase, Linux, Heroku","CSS, HTML, Javascript, PHP, Python, SQL, TypeScript, GDScript","Django, Node.js, React.js, WordPress, FastAPI, Godot","Amazon DynamoDB, MySQL, SQLite",Postman,26,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),1300000,Developer,4,Ninguna de las anteriores,Java,"Hibernate, Spring",Oracle,Postman,36,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,5000000,Infosec,15,"Amazon Web Services, Azure, Linux",Ninguno de los anteriores,Ninguno de los anteriores,"Amazon RDS/Aurora, MariaDB, MongoDB, MySQL, Oracle",Ninguna de las anteriores,40,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1750000,Developer,4,"Docker, Firebase, Google Cloud Platform",Python,"Flask, FastApi","Google Cloud Storage, MySQL",Postman,25,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1300000,Developer,2,"Amazon Web Services, Docker, Kubernetes","Java, TypeScript","Angular, Spring",Contentful,JUnit,24,Hombre Cis,Junior
Neuquén,Full-Time,Staff (planta permanente),3600000,Technical Leader,5,"Amazon Web Services, Google Cloud Platform, Serverless, Plataforma interna para gestión de AWS y GCP","Bash/Shell, Go, Python, SQL",Ninguno de los anteriores,"Amazon DynamoDB, Amazon Redshift, MongoDB, MySQL, Redis",Postman,32,Hombre Cis,Semi-Senior
Entre Ríos,Full-Time,Contractor,842000,Developer,3,Ninguna de las anteriores,"CSS, HTML, Javascript, TypeScript","Next.js, Node.js, React.js","MongoDB, PostgreSQL",Ninguna de las anteriores,28,Hombre Cis,Semi-Senior
San Juan,Full-Time,Staff (planta permanente),701000,Developer,3,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes","CSS, HTML, Java, Javascript, TypeScript","Next.js, Node.js, React.js, Spring","Amazon HBase, Google Cloud Storage, MySQL, PostgreSQL",Cypress,28,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),900000,Developer,3,Windows Server,".NET, C#, SQL",".NET Core, Angular",Oracle,Ninguna de las anteriores,25,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,4000000,Manager / Director,6,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,39,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2500000,Technical Support,3,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,PostgreSQL,Ninguna de las anteriores,32,Mujer Cis,Semi-Senior
Córdoba,Full-Time,Contractor,1300000,Data Scientist,2,"Amazon Web Services, Docker","Bash/Shell, Python, SQL","Django, Flask, Spark, TensorFlow, Torch",PostgreSQL,Ninguna de las anteriores,33,Hombre Cis,Junior
Chubut,Full-Time,Freelance,890000,DBA (Database Administrator),2,"Docker, Kubernetes, SAP","Javascript, Python, SQL","Bootstrap, Django, Node.js, React.js","Microsoft SQL Server, Oracle, PostgreSQL","Postman, Selenium",24,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1070550,Developer,4,"Docker, Linux","HTML, Javascript, VBA","Angular, Bootstrap, jQuery, Next.js, React.js, Vue.js",Ninguna de las anteriores,Ninguna de las anteriores,28,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,1500000,Developer,2,"Amazon Web Services, Vsc","Bash/Shell, CSS, HTML, Javascript, TypeScript, Tailwind","Next.js, Node.js, React.js",Ninguna de las anteriores,Ninguna de las anteriores,25,Hombre Cis,Junior
Santa Fe,Full-Time,Staff (planta permanente),2100000,Developer,3,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes","Javascript, TypeScript",Node.js,Salesforce,"Cypress, Jest, Postman",37,Hombre Cis,Semi-Senior
Neuquén,Full-Time,Staff (planta permanente),810000,Developer,1,Linux,"HTML, Javascript, PHP, SQL","Bootstrap, CodeIgniter, jQuery",MariaDB,Ninguna de las anteriores,28,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5000000,Developer,3,Ninguna de las anteriores,".NET, Bash/Shell, C#, Groovy, Java, Python",.NET Core,SQLite,Ninguna de las anteriores,26,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,500000,Developer,0,Ninguna de las anteriores,Java,Ninguno de los anteriores,MySQL,Ninguna de las anteriores,39,Hombre Cis,Junior
Buenos Aires,Full-Time,Staff (planta permanente),945000,QA / Tester,12,"Docker, Linux",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Postman,33,Mujer Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),290000,Data Engineer,0,"Datastage , informática cloud ","Python, SQL",Ninguno de los anteriores,"MySQL, Teradata",Ninguna de las anteriores,24,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5500000,Developer,4,"Amazon Web Services, Docker","CSS, HTML, Java, Javascript, PHP, Scala, SQL, TypeScript","Akka, Laravel, Next.js, Node.js, React.js, Spring","MongoDB, MySQL, PostgreSQL","Jest, JUnit, PHPUnit, Postman",23,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3500000,Developer,7,"Amazon Web Services, Docker","Javascript, Python, TypeScript","Django, React.js","Amazon DynamoDB, PostgreSQL","Cypress, Jest, Postman",27,Hombre Cis,Senior
Buenos Aires,Part-Time,Contractor,1300000,Developer,2,Linux,C,Ninguno de los anteriores,Ninguna de las anteriores,"Ninguna de las anteriores, ",19,Hombre Cis,Junior
Mendoza,Full-Time,Contractor,2800000,Developer,7,Docker,"Java, SQL",Spring,Oracle,JUnit,33,Hombre Cis,Senior
Santa Fe,Full-Time,Staff (planta permanente),1300000,SysAdmin / DevOps / SRE,18,"Azure, Docker, OpenStack, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,38,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),320000,Developer,2,Ninguna de las anteriores,".NET, HTML, TypeScript",".NET Core, React.js",Microsoft SQL Server,Vitest,23,Hombre Cis,Junior
Mendoza,Full-Time,Contractor,2000000,Developer,4,"Amazon Web Services, Docker, Kubernetes, Linux","Javascript, Ruby","Next.js, Rails, React.js","MySQL, PostgreSQL",RSpec,26,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,2222000,Developer,2,Shopify,"CSS, HTML, Javascript, Liquid",WordPress,Ninguna de las anteriores,Ninguna de las anteriores,35,Mujer Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5000000,Developer,14,"Amazon Web Services, Kubernetes","Go, Kotlin",Micronaut,"Amazon DynamoDB, PostgreSQL",JUnit,35,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,4500000,Architect,5,"Serverless, Salesforce ","CSS, HTML, Javascript, SQL, TypeScript","Next.js, Node.js, React.js","MariaDB, MySQL","Jest, Postman, Selenium",46,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2190222,BI Analyst / Data Analyst,3,Ninguna de las anteriores,PHP,Ninguno de los anteriores,"Microsoft SQL Server, MySQL",Ninguna de las anteriores,27,Mujer Cis,Semi-Senior
Santa Fe,Full-Time,Contractor,5000000,Data Scientist,5,Amazon Web Services,Python,TensorFlow,Ninguna de las anteriores,Ninguna de las anteriores,34,Hombre Cis,Semi-Senior
Mendoza,Full-Time,Contractor,3000000,Data Engineer,2,"Amazon Web Services, Docker, Google Cloud Platform, Linux, Serverless","Bash/Shell, Java, Python, Scala","Hadoop, Spark","Amazon Redshift, Amazon RDS/Aurora, Google Cloud Storage, Apache Iceberg",Pytest,38,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1100000,HelpDesk,14,"Google Cloud Platform, SAP",ABAP,"SAP, SAP Hana",Google Cloud Storage,Ninguna de las anteriores,46,Hombre Cis,Senior
Tucumán,Full-Time,Contractor,1700000,Developer,1,Teams - Gmail - Slack - Salesforce,"Javascript, Apex",Ninguno de los anteriores,SOSL - SOQL,Ninguna de las anteriores,23,Hombre Cis,Junior
Santa Fe,Full-Time,Contractor,4000000,Developer,8,"Docker, Linux, Microcontroladores","Bash/Shell, C, C++, Go, Javascript, Rust, TypeScript","Bun, Node.js",Ninguna de las anteriores,Jest,33,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,2500000,SysAdmin / DevOps / SRE,3,"Amazon Web Services, Azure, Google Cloud Platform, Kubernetes, Linux, Serverless, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,30,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,3500000,Technical Leader,20,"Amazon Web Services, Docker, Kubernetes, VMWare","Bash/Shell, Go, Javascript","Next.js, Node.js, Vue.js","Amazon DynamoDB, Amazon RDS/Aurora, MongoDB, Redis",Ninguna de las anteriores,39,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),7000000,Manager / Director,7,"Amazon Web Services, Docker, Kubernetes, Linux, Serverless","Bash/Shell, Python",Flask,"Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, Redis",Ninguna de las anteriores,33,Mujer Cis,Senior
Buenos Aires,Part-Time,Freelance,400000,QA / Tester,3,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,"OpenQA, Postman, Silktest",28,Mujer Cis,Semi-Senior
Tucumán,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1400000,Technical Leader,5,"Azure, Docker, Kubernetes, OpenShift, SAP",".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Bootstrap, Node.js, React.js, SAP","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB","Cypress, Jest, Postman, SoapUI",37,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),1550000,SysAdmin / DevOps / SRE,2,"Amazon Web Services, Docker, Kubernetes, Serverless",Python,Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora",Ninguna de las anteriores,31,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2400000,Developer,9,"Amazon Web Services, Docker, Linux, Serverless","CSS, HTML, Java, Javascript, Python, SQL, TypeScript","Bootstrap, Hibernate, jQuery, Node.js, React.js, Spring, UmiJS","MariaDB, MySQL","JUnit, Postman",35,Hombre Cis,Senior
Tucumán,Full-Time,Contractor,1200000,Technical Leader,2,"Amazon Web Services, Serverless",TypeScript,"Next.js, Node.js, React.js","Amazon DynamoDB, PostgreSQL",Ninguna de las anteriores,22,Hombre Cis,Junior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),865000,Technical Support,12,Linux,"Java, SQL",Ninguno de los anteriores,Oracle,Postman,36,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000,Developer,4,"Amazon Web Services, Docker, Kubernetes, Serverless","Java, Javascript, Kotlin, TypeScript","Node.js, Spring, Fastify","Amazon DynamoDB, Amazon RDS/Aurora","Jest, JUnit, Postman",25,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Contractor,450000,Developer,0,Ninguna de las anteriores,"CSS, HTML, Javascript, PHP","WordPress, Liquid",MySQL,Ninguna de las anteriores,27,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Part-Time,Participación societaria en una cooperativa,1250000,Technical Leader,20,"Google Cloud Platform, Linux, Windows Server","CSS, HTML, Javascript, PHP, SQL, VBA","Bootstrap, jQuery, WordPress","Apache Hive, Microsoft SQL Server, MySQL","Cucumber, Test Complete, Visual Studio Coded UI",45,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2941704.5,Developer,6,"Linux, Serverless","Go, Java",Spring,"Amazon DynamoDB, MySQL, Redis","JUnit, Postman",24,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),1278000,SysAdmin / DevOps / SRE,2,"Azure, Docker, Google Cloud Platform, Kubernetes, Linux, Windows Server","Bash/Shell, C, C#, Java, Javascript, Python, TypeScript","Next.js, Node.js","MySQL, PostgreSQL",Selenium,27,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1800000,Developer,6,"Amazon Web Services, Docker","Java, SQL",Spring,"Amazon RDS/Aurora, MySQL, Oracle, PostgreSQL",JUnit,26,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1020000,Developer,3,Amazon Web Services,Javascript,"Node.js, React.js",Ninguna de las anteriores,Ninguna de las anteriores,26,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,5000000,Developer,7,Google Cloud Platform,Python,Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,27,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1755000,Technical Leader,10,"Google Cloud Platform, DBT","Python, SQL",Pandas,"Google Cloud Storage, Google Cloud Big Query",DBT,32,Hombre Cis,Senior
Río Negro,Full-Time,Staff (planta permanente),875449.92,SysAdmin / DevOps / SRE,1,"Linux, Mainframe, SAP, VMWare, Windows Server",SQL,"Hadoop, Node.js, SAP",Oracle,Ninguna de las anteriores,32,Mujer Cis,Junior
Córdoba,Full-Time,Staff (planta permanente),3700000,Architect,15,"Amazon Web Services, Docker, Google Cloud Platform, Linux, OpenShift",Bash/Shell,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,38,Hombre Cis,Senior
San Juan,Full-Time,Staff (planta permanente),783000,Developer,2,Ninguna de las anteriores,"CSS, HTML, Javascript, TypeScript","Angular, Bootstrap, Next.js, React.js",Ninguna de las anteriores,"Visual Studio Coded UI, Ninguna de las anteriores",22,Hombre Cis,Junior
Buenos Aires,Full-Time,Staff (planta permanente),4100000,SysAdmin / DevOps / SRE,10,"Amazon Web Services, Docker, Linux",Bash/Shell,Ninguno de los anteriores,"Amazon RDS/Aurora, ElasticSearch, MariaDB, MySQL, Percona Server, PostgreSQL, Redis",Ninguna de las anteriores,40,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,1600000,Data Scientist,6,"Amazon Web Services, Docker, Linux",Python,"Django, Flask, TensorFlow, Torch","Amazon RDS/Aurora, PostgreSQL",promptfoo,27,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1840000,Developer,5,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, VMWare","Bash/Shell, C#, Dart, Java, Kotlin, Objective-C, Ruby, Swift",".NET Core, Node.js, Unity","Amazon DynamoDB, Redis","JUnit, NUnit, Postman",32,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),5250000,Technical Leader,20,"Azure, Docker, Kubernetes, Linux","Bash/Shell, Python, SQL",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, PostgreSQL, Redis",Ninguna de las anteriores,43,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,470000,Recruiter,3,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,29,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,5000000,Data Engineer,5,"Amazon Web Services, Databricks","Python, SQL",Ninguno de los anteriores,Databricks,Ninguna de las anteriores,39,Hombre Cis,Semi-Senior
Mendoza,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2500000,Developer,7,"Firebase, Google Cloud Platform","Javascript, TypeScript","Angular, Bootstrap","MariaDB, MongoDB, MySQL",Cypress,28,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),1900000,Developer,3,"Amazon Web Services, Docker, Kubernetes","CSS, Go, HTML, Javascript, TypeScript","Next.js, React.js",MongoDB,Jest,33,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1372000,SysAdmin / DevOps / SRE,4,"Amazon Web Services, Docker, Kubernetes, Linux, OpenStack",Bash/Shell,Ninguno de los anteriores,"Informix, MariaDB, Microsoft SQL Server, MySQL, Percona Server",Ninguna de las anteriores,26,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000,QA / Tester,3,Robot Framework,"Python, SQL",Selenium y Robot Framework,Bruno,"JUnit, Selenium, robot Framework ",41,Mujer Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,6000000,QA / Tester,8,Amazon Web Services,SQL,Ninguno de los anteriores,MySQL,Postman,29,Hombre Cis,Senior
Córdoba,Full-Time,Staff (planta permanente),2300000,Sales / Pre-Sales,10,"Azure, Docker, Kubernetes, Linux",SQL,Ninguno de los anteriores,"Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,56,Hombre Cis,Senior
